weibo_id,pagerank1,in_degree1,all_degree1,out_degree1,bi_degree1,pagerank2,in_degree2,all_degree2,out_degree2,bi_degree2,wordlenth,content_category,release_time,Hashtag,mention,choujiang,depthT26,depthT59,depthT58,depthT60,depthT75,depthT195,depthT315,depthT435,depthT555,depthT675,depthT795,depthT915,depthT1035,depthT1155,depthT1275,depthT1395,depthT1515,depthT1635,depthT1755,depthT1875,depthT1995,depthT2115,depthT2235,depthT2355,depthT2475,depthT2595,depthT2715,depthT2835,depthT2955,depthT3075,depthT3195,depthT3315,depthT3435,depthT3555,depthT3675,depthT3795,depthT3915,depthT4035,depthT4155,depthT4275
3938907529834563,52.7229,8508,8721,241,28,810.7739999999999,4015,3432,22,3,400,3,21.383333333299998,1,1,0,2,3,3,3,3.1186249256134033,3.387803316116333,3.47568678855896,3.4849393367767334,3.550507068634033,3.5451722145080566,3.5371241569519043,3.5504822731018066,3.6764707565307617,3.727792263031006,3.752932071685791,3.86474871635437,3.864205837249756,3.890862226486206,3.942082166671753,3.8652567863464355,4.00741720199585,3.900813579559326,3.9333231449127197,3.787818193435669,3.954951524734497,3.9623770713806152,3.9587087631225586,3.8464205265045166,4.047751426696777,4.029207229614258,3.9574737548828125,3.952432155609131,3.9388539791107178,3.9958226680755615,4.036504745483398,4.1326470375061035,4.058361053466797,4.116266250610352,4.005555152893066,3.9669947624206543
3944387538324137,137.759,17402,17402,0,0,1735.78,1332,1298,1,1,34,1,0.3,0,0,0,1,5,5,5,5.205524921417236,5.203126430511475,5.39927864074707,5.621756553649902,5.939059734344482,6.7886576652526855,7.599545001983643,7.087630271911621,7.704627990722656,8.230292320251465,6.957932472229004,8.388916015625,6.739881992340088,6.178959369659424,6.857100963592529,6.960355758666992,7.20686149597168,7.127748966217041,7.0824480056762695,7.676534652709961,7.123643398284912,8.200456619262695,6.750308990478516,7.635972023010254,7.216663360595703,6.3927531242370605,7.439408779144287,6.4756364822387695,6.6613311767578125,7.445016860961914,7.058021545410156,6.730765342712402,6.709173202514648,7.82523250579834,6.668503284454346,7.45664119720459
3943623890217474,33.9732,7967,7975,9,1,44.6939,406,397,0,0,332,6,21.7333333333,1,0,0,2,2,2,2,2.097405433654785,2.4770359992980957,2.5461442470550537,2.455742835998535,2.555366277694702,2.76846981048584,2.9017345905303955,3.0284900665283203,3.141054630279541,3.201849937438965,3.1945888996124268,3.1477789878845215,3.1538236141204834,3.2990825176239014,3.2491614818573,3.337454319000244,3.33858060836792,3.3009963035583496,3.248849630355835,3.3356101512908936,3.211815595626831,3.452026605606079,3.518752098083496,3.457360029220581,3.4673807621002197,3.4964230060577393,3.56610369682312,3.9116878509521484,3.581974506378174,3.888422727584839,3.4569687843322754,3.5979461669921875,3.5605781078338623,3.4900333881378174,3.7271883487701416,3.557448148727417
3965252053606638,356.548,101550,101581,162,131,25557.2,86519,63775,52,5,58,6,14.1166666667,0,0,0,1,1,1,1,1.0783041715621948,1.4885445833206177,1.5912368297576904,1.7200546264648438,1.7686423063278198,1.7935539484024048,1.769116997718811,1.8139458894729614,1.839482307434082,1.8133093118667603,1.8420414924621582,1.857120156288147,1.8740499019622803,1.9308384656906128,1.9046788215637207,1.889696478843689,1.915899395942688,1.8741252422332764,1.964331030845642,1.8666434288024902,1.8562155961990356,1.902052640914917,1.9173277616500854,1.9083237648010254,1.9393444061279297,1.9451544284820557,1.9083333015441895,1.9542921781539917,1.929425835609436,1.9442875385284424,1.9332531690597534,1.953240990638733,1.873435378074646,1.9547786712646484,1.9497082233428955,1.9870959520339966
3952848309605854,0.196158,70,90,20,0,36.02,19316,282,0,0,408,0,8.63333333333,0,0,0,1,1,1,1,1.0459792613983154,1.1348662376403809,1.1252069473266602,1.0535662174224854,1.0693447589874268,0.9880349040031433,1.064781904220581,0.798583984375,0.8608931303024292,0.8182483911514282,0.9448585510253906,0.8271172046661377,0.8958827257156372,0.8679416179656982,0.7435140013694763,0.8395829200744629,0.694362223148346,0.7021111249923706,0.7732889652252197,0.6400165557861328,0.6438765525817871,0.8706392049789429,0.9087752103805542,0.7621304988861084,0.8371704816818237,1.0135760307312012,0.8915241956710815,0.6950619220733643,0.8652539849281311,0.9578404426574707,0.8665033578872681,0.7493125796318054,0.7973442077636719,0.9038532972335815,0.9526402950286865,0.8713893890380859
3943620828963655,33.393,4911,4957,120,74,495.35699999999997,1665,1541,3,3,27,0,21.5333333333,0,0,0,2,3,3,3,3.1336236000061035,3.9435346126556396,4.046558380126953,3.9296162128448486,4.1542253494262695,4.323998928070068,4.5148024559021,4.608778476715088,4.91727352142334,4.8380961418151855,4.9447174072265625,4.9862189292907715,4.841304779052734,4.830041408538818,4.802339553833008,4.838250160217285,4.863291263580322,4.88983154296875,4.829771518707275,4.974006175994873,5.013110160827637,4.97724723815918,5.012204170227051,4.991291046142578,4.83864164352417,4.776806831359863,5.040063858032227,4.924030303955078,4.881776809692383,4.806522846221924,4.867830276489258,4.906009197235107,4.920303821563721,4.865527629852295,5.014339923858643,4.849938869476318
3926094786676592,8.129719999999999,63,94,42,11,22.3808,290,290,1,0,328,6,12.833333333299999,1,0,0,1,1,1,1,1.095349669456482,1.9549543857574463,2.269533157348633,2.346961498260498,2.4497084617614746,2.1824209690093994,2.252122402191162,2.325162887573242,2.3449413776397705,2.7008867263793945,2.807413339614868,2.796112537384033,2.835221290588379,2.819896936416626,3.0319137573242188,3.1689391136169434,3.2015116214752197,3.0597870349884033,2.945413589477539,3.070916175842285,3.0873780250549316,3.0735995769500732,3.001366376876831,3.1833364963531494,2.8287839889526367,3.071316719055176,2.930478096008301,3.0457382202148438,3.0910096168518066,3.05500864982605,3.2468807697296143,3.0178027153015137,3.118678569793701,3.1421844959259033,3.1494081020355225,2.9997763633728027
3903316066875530,218.795,63745,64664,3072,2153,39538.5,257413,86313,282,4,67,0,16.25,1,0,0,2,3,3,3,3.0810372829437256,3.332401752471924,3.461747407913208,3.531320333480835,3.6048200130462646,3.6344048976898193,3.58160400390625,3.6473031044006348,3.6470773220062256,3.6737139225006104,3.7059929370880127,3.6827292442321777,3.719536304473877,3.806800127029419,3.7698678970336914,3.8597187995910645,3.7880706787109375,3.8122615814208984,3.8294553756713867,3.8347084522247314,3.787741184234619,3.801193952560425,3.8304965496063232,3.8535749912261963,3.8575830459594727,3.925999164581299,3.7919509410858154,3.8198115825653076,3.817513942718506,3.9209604263305664,3.8751168251037598,3.8801724910736084,3.9062774181365967,3.919128894805908,3.9250292778015137,3.8672523498535156
3853417317471322,3018.24,321766,321773,79,72,117943.0,201394,137362,3,1,179,7,23.5833333333,0,0,0,2,2,2,2,2.0352346897125244,2.2933926582336426,2.3203210830688477,2.3608086109161377,2.5474042892456055,2.67529034614563,2.7488811016082764,3.184412956237793,3.190777063369751,3.4649245738983154,3.2163596153259277,3.3427231311798096,3.2393033504486084,3.2357730865478516,3.3353159427642822,3.4140264987945557,3.3846757411956787,3.219780445098877,3.1624982357025146,3.221888542175293,3.3303611278533936,3.2566077709198,3.718438148498535,3.3591697216033936,3.77312970161438,3.141185998916626,3.3582944869995117,3.2848358154296875,3.4484622478485107,3.2625513076782227,3.4323983192443848,3.3687312602996826,3.446115255355835,3.896507978439331,3.248387336730957,3.303624391555786
3876213485407562,293.303,115807,115808,2,1,3204.22,9201,7903,5,1,60,6,21.3166666667,0,0,0,0,0,0,0,0.15678635239601135,0.34095412492752075,0.49565261602401733,0.5988808870315552,0.7764521241188049,0.7583426237106323,0.8427452445030212,1.1073896884918213,0.9928144216537476,1.137094259262085,1.3100922107696533,1.328698754310608,1.5150986909866333,1.6160776615142822,1.5412498712539673,1.4983997344970703,1.4520343542099,1.4824155569076538,1.5107148885726929,1.5856083631515503,1.5027837753295898,1.4144896268844604,1.6111212968826294,1.536981463432312,1.7067770957946777,1.705099105834961,1.6709516048431396,1.5952682495117188,1.7121353149414062,1.6379525661468506,1.622574806213379,1.7898364067077637,1.824060082435608,1.7174400091171265,1.6826986074447632,1.6968960762023926
